Litre,,,,,,,,,Gallon,,,,,
,Average of Aug-21,Average of Jul-22,Average of Aug-22,MoM,YoY,,,,,Average of Aug-21,Average of Jul-22,Average of Aug-22,MoM,YoY
Kano,340.63,746.43,748.72,0.31,119.81,,,,Kano,"1,290.63","2,936.67","3,092.31",5.30,139.60
Katsina,322.92,753.33,764.81,1.52,136.85,,,,Katsina,"1,214.29","2,995.00","3,033.33",1.28,149.80
Kebbi,350.00,722.62,779.17,7.83,122.62,,,,Kebbi,"1,350.00","2,684.62","2,700.00",0.57,100.00
Sokoto,375.00,729.17,729.17,0.00,94.44,,,,Sokoto,"1,580.00","2,600.00","2,650.00",1.92,67.72
Zamfara,375.64,768.57,800.00,4.09,112.97,,,,Zamfara,"1,200.00","2,430.57","2,280.00",-6.19,90.00
SOUTH EAST,439.58,892.40,953.88,6.89,117.00,,,,SOUTH EAST,"1,344.66","3,130.76","3,276.78",4.66,143.69
Abia,419.44,905.82,966.67,6.72,130.46,,,,Abia,"1,468.00","3,158.44","3,825.00",21.10,160.56
Anambra,381.11,702.22,710.00,1.11,86.30,,,,Anambra,"1,252.00","3,171.07","3,057.73",-3.57,144.23
Ebonyi,489.17,946.94,991.67,4.72,102.73,,,,Ebonyi,"1,398.75","2,862.50","2,900.00",1.31,107.33
Enugu,494.05,"1,003.68","1,017.74",1.40,106.00,,,,Enugu,"1,426.92","3,500.75","3,574.52",2.11,150.51
Imo,414.13,903.33,"1,083.33",19.93,161.59,,,,Imo,"1,177.63","2,961.05","3,026.67",2.22,157.01
SOUTH SOUTH,386.92,727.07,749.51,3.09,93.71,,,,SOUTH SOUTH,"1,235.53","2,767.17","2,871.91",3.79,132.44
Akwa Ibom,409.72,770.83,804.76,4.40,96.42,,,,Akwa Ibom,"1,346.67","2,562.50","2,750.00",7.32,104.21
Bayelsa,255.56,643.06,643.33,0.04,151.74,,,,Bayelsa,991.67,"2,580.00","2,752.50",6.69,177.56
Cross River,487.50,904.91,950.00,4.98,94.87,,,,Cross River,"1,533.16","2,979.17","3,097.31",3.97,102.02
Delta,362.78,685.26,680.48,-0.70,87.57,,,,Delta,"1,153.39","2,571.00","2,584.42",0.52,124.07
Edo,420.24,703.10,791.03,12.51,88.23,,,,Edo,"1,423.57","3,085.33","3,161.54",2.47,122.08
Rivers,385.71,655.24,627.45,-4.24,62.67,,,,Rivers,964.75,"2,825.00","2,885.71",2.15,199.12
SOUTH WEST,398.39,900.90,910.85,1.10,128.63,,,,SOUTH WEST,"1,363.69","3,186.93","3,073.27",-3.57,125.36
Ekiti,458.97,989.58,"1,026.92",3.77,123.74,,,,Ekiti,"1,503.57","3,450.00","3,443.33",-0.19,129.01
Lagos,444.05,860.00,900.00,4.65,102.68,,,,Lagos,"1,343.33","3,072.22","2,526.32",-17.77,88.06
Ogun,402.29,942.59,974.36,3.37,142.20,,,,Ogun,"1,166.38","3,217.31","3,070.45",-4.56,163.25
Ondo,375.64,861.11,839.29,-2.53,123.43,,,,Ondo,"1,415.83","3,001.92","3,016.15",0.47,113.03
Osun,325.00,949.12,930.39,-1.97,186.27,,,,Osun,"1,374.67","3,078.57","3,033.33",-1.47,120.66
Oyo,384.38,802.96,794.12,-1.10,106.60,,,,Oyo,"1,378.33","3,301.56","3,350.00",1.47,143.05
Average,400.01,789.75,809.52,2.50,102.38,,,,Average,"1,325.39","2,886.41","2,947.65",2.12,122.40
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATES WITH THE HIGHEST AVERAGE PRICES IN AUGUST 2022,,,,,,,,,STATES WITH THE HIGHEST AVERAGE PRICES IN AUGUST 2022,,,,,
Imo,1083.33,,,,,,,,Abuja,4050.00,,,,
Ekiti,1026.92,,,,,,,,Abia,3825.00,,,,
Enugu,1017.74,,,,,,,,Enugu,3574.52,,,,
,,,,,,,,,,,,,,
STATES WITH THE LOWEST AVERAGE PRICES IN AUGUST 2022,,,,,,,,,STATES WITH THE LOWEST AVERAGE PRICES IN AUGUST 2022,,,,,
Nassarawa,625.00,,,,,,,,Zamfara,2280.00,,,,
Rivers,627.45,,,,,,,,Lagos,2526.32,,,,
Adamawa,633.33,,,,,,,,Benue,2566.67,,,,
